CategoryID,ExternalClassID,Name,CategorySystemID,ParentCategoryID,HierarchyLevel
"1","1","Energy carriers and technologies","1","0","0"
"2","1.1","Energetic raw materials","1","1","1"
"3","1.10","Other non-renewable fuels","1","1","1"
"4","1.11","Renewable fuels","1","1","1"
"5","1.2","Electricity","1","1","1"
"6","1.3","Heat and steam","1","1","1"
"7","1.4","Mechanical energy","1","1","1"
"8","1.5","Hard coal based fuels","1","1","1"
"9","1.6","Lignite based fuels","1","1","1"
"10","1.7","Crude oil based fuels","1","1","1"
"11","1.8","Natural gas based fuels","1","1","1"
"12","1.9","Nuclear fuels","1","1","1"
"13","2","Materials production","1","0","0"
"14","2.1","Non-energetic raw materials","1","13","1"
"15","2.10","Agricultural production means","1","13","1"
"16","2.11","Food and renewable raw materials","1","13","1"
"17","2.12","Wood","1","13","1"
"18","2.13","Other materials","1","13","1"
"19","2.2","Metals and semimetals","1","13","1"
"20","2.3","Organic chemicals","1","13","1"
"21","2.4","Inorganic chemicals","1","13","1"
"22","2.5","Glass and ceramics","1","13","1"
"23","2.6","Other mineralic materials","1","13","1"
"24","2.7","Plastics","1","13","1"
"25","2.8","Paper and cardboards","1","13","1"
"26","2.9","Water","1","13","1"
"27","3","Systems","1","0","0"
"28","3.1","Packaging","1","27","1"
"29","3.10","Other systems","1","27","1"
"30","3.2","Electrics and electronics","1","27","1"
"31","3.3","Vehicles","1","27","1"
"32","3.4","Other machines","1","27","1"
"33","3.5","Construction","1","27","1"
"34","3.6","White goods","1","27","1"
"35","3.7","Textiles, furnitures and other interiors","1","27","1"
"36","3.8","Unspecific parts","1","27","1"
"37","3.9","Paints and chemical preparations","1","27","1"
"38","4","End-of-life treatment","1","0","0"
"39","4.1","Reuse or further use","1","38","1"
"40","4.2","Material recycling","1","38","1"
"41","4.3","Raw material recycling","1","38","1"
"42","4.4","Energy recycling","1","38","1"
"43","4.5","Landfilling","1","38","1"
"44","4.6","Waste collection","1","38","1"
"45","4.7","Waste water treatment","1","38","1"
"46","4.8","Raw gas treatment","1","38","1"
"47","4.9","Other end-of-life services","1","38","1"
"48","5","Transport services","1","0","0"
"49","5.1","Road","1","48","1"
"50","5.2","Rail","1","48","1"
"51","5.3","Water","1","48","1"
"52","5.4","Air","1","48","1"
"53","5.5","Other transport","1","48","1"
"54","6","Other Services","1","0","0"
"55","6.1","Cleaning","1","54","1"
"56","6.10","Lodging and gastronomy","1","54","1"
"57","6.11","Education","1","54","1"
"58","6.12","Research and development","1","54","1"
"59","6.13","Entertainment","1","54","1"
"60","6.14","Renting","1","54","1"
"61","6.15","Engineering and consulting","1","54","1"
"62","6.16","Other services","1","54","1"
"63","6.2","Storage","1","54","1"
"64","6.3","Health, social services, beauty and wellness","1","54","1"
"65","6.4","Repair and maintenance","1","54","1"
"66","6.5","Sale and whole sale","1","54","1"
"67","6.6","Communication and information services","1","54","1"
"68","6.7","Financial, legal, and insurance","1","54","1"
"69","6.8","Administration and government","1","54","1"
"70","6.9","Defence","1","54","1"
"71","7","Use and consumption","1","0","0"
"72","7.1","Consumption of goods","1","71","1"
"73","7.2","Use of energy-using products","1","71","1"
"74","7.3","Other use and consumption","1","71","1"
"75","1","Damage level LCIA methods","2","0","0"
"76","1.1","Total impact across areas of protection","2","75","1"
"77","1.2","Human health","2","75","1"
"78","1.2.1","Total human health, combined","2","77","2"
"79","1.2.2","Human health, toxicity","2","77","2"
"80","1.2.3","Human health, climate change","2","77","2"
"81","1.2.4","Human health, ionising radiation","2","77","2"
"82","1.2.5","Human health, ozone depletion","2","77","2"
"83","1.2.6","Human health, photooxidant creation","2","77","2"
"84","1.2.7","Human health, other","2","77","2"
"85","1.3","Natural environment","2","75","1"
"86","1.3.1","Total natural environment, combined","2","85","2"
"87","1.3.10","Natural environment, photooxidant creation","2","85","2"
"88","1.3.11","Natural environment, ionising radiation","2","85","2"
"89","1.3.12","Natural environment, other","2","85","2"
"90","1.3.2","Natural environment, climate change","2","85","2"
"91","1.3.3","Natural environment, ozone depletion","2","85","2"
"92","1.3.4","Natural environment, land use","2","85","2"
"93","1.3.5","Natural environment, freshwater ecotoxicity","2","85","2"
"94","1.3.6","Natural environment, seawater ecotoxicity","2","85","2"
"95","1.3.7","Natural environment, terrestric ecotoxicity","2","85","2"
"96","1.3.8","Natural environment, acidification","2","85","2"
"97","1.3.9","Natural environment, eutrophication","2","85","2"
"98","1.4","Man-made environment","2","75","1"
"99","1.4.1","Total man-made environment, combined","2","98","2"
"100","1.4.2","Man-made environment, acidification","2","98","2"
"101","1.4.3","Man-made environment, climate change","2","98","2"
"102","1.4.4","Man-made environment, eutrophication","2","98","2"
"103","1.4.5","Man-made environment, other","2","98","2"
"104","1.5","Resource availability","2","75","1"
"105","1.5.1","Total resource depletion, combined","2","104","2"
"106","1.5.2","Resource depletion, minerals and metals","2","104","2"
"107","1.5.3","Resource depletion, non-renewable energy resourcess","2","104","2"
"108","1.5.4","Resource depletion, land use","2","104","2"
"109","1.5.5","Resource depletion, renewable energy resources","2","104","2"
"110","1.5.6","Resource depletion, other","2","104","2"
"111","1.5.6","Resource depletion, renewable non-energy resources","2","104","2"
"112","2","Midpoint level LCIA methods","2","0","0"
"113","2.1","Combined methods","2","112","1"
"114","2.10","Human toxicity","2","112","1"
"115","2.11","Respiratory effects","2","112","1"
"116","2.12","Noise","2","112","1"
"117","2.13","Resource depletion","2","112","1"
"118","2.14","Other midpoint categories","2","112","1"
"119","2.2","Climate change","2","112","1"
"120","2.3","Ozone depletion","2","112","1"
"121","2.4","Land use","2","112","1"
"122","2.5","Ecotoxicity","2","112","1"
"123","2.6","Acidification","2","112","1"
"124","2.7","Eutrophication","2","112","1"
"125","2.8","Photooxidant creation","2","112","1"
"126","2.9","Nuclear radiation","2","112","1"
"127","1","Emissions","3","0","0"
"128","1.1","Radioactives","3","127","1"
"129","1.2","Pesticides","3","127","1"
"130","1.3","Particles","3","127","1"
"131","1.4","Metal and semimetal elements and ions","3","127","1"
"132","1.5","Non-metallic or -semimetallic ions","3","127","1"
"133","1.6","Inorganic covalent compounds","3","127","1"
"134","1.7","Cyclic organics","3","127","1"
"135","1.8","Acylic organics","3","127","1"
"136","1.9","Other substance type","3","127","1"
"137","10","Other Services","3","0","0"
"138","10.1","Cleaning","3","137","1"
"139","10.10","Lodging and gastronomy","3","137","1"
"140","10.11","Education","3","137","1"
"141","10.12","Research and development","3","137","1"
"142","10.13","Entertainment","3","137","1"
"143","10.14","Renting","3","137","1"
"144","10.15","Engineering and consulting","3","137","1"
"145","10.16","Other services","3","137","1"
"146","10.2","Storage","3","137","1"
"147","10.3","Health, social services, beauty and wellness","3","137","1"
"148","10.4","Repair and maintenance","3","137","1"
"149","10.5","Sale and whole sale","3","137","1"
"150","10.6","Communication and information services","3","137","1"
"151","10.7","Financial, legal, and insurance","3","137","1"
"152","10.8","Administration and government","3","137","1"
"153","10.9","Defence","3","137","1"
"154","11","Use and consumption","3","0","0"
"155","11.1","Consumption of goods","3","154","1"
"156","11.2","Use of energy-using products","3","154","1"
"157","11.3","Other use and consumption","3","154","1"
"158","12","Wastes","3","0","0"
"159","12.1","Mining waste","3","158","1"
"160","12.2","Construction waste","3","158","1"
"161","12.3","Production residues","3","158","1"
"162","12.4","Post consumer waste","3","158","1"
"163","12.5","Radioactive waste","3","158","1"
"164","12.6","Raw gas","3","158","1"
"165","12.7","Waste water","3","158","1"
"166","12.8","Other waste","3","158","1"
"167","5","Energy carriers and technologies","3","0","0"
"168","5.1","Energetic raw materials","3","167","1"
"169","5.10","Other non-renewable fuels","3","167","1"
"170","5.11","Renewable fuels","3","167","1"
"171","5.2","Electricity","3","167","1"
"172","5.3","Heat and steam","3","167","1"
"173","5.4","Mechanical energy","3","167","1"
"174","5.5","Hard coal based fuels","3","167","1"
"175","5.6","Lignite based fuels","3","167","1"
"176","5.7","Crude oil based fuels","3","167","1"
"177","5.8","Natural gas based fuels","3","167","1"
"178","5.9","Nuclear fuels","3","167","1"
"179","6","Materials production","3","0","0"
"180","6.1","Raw materials","3","179","1"
"181","6.10","Agricultural production means","3","179","1"
"182","6.11","Food and renewable raw materials","3","179","1"
"183","6.12","Wood","3","179","1"
"184","6.13","Other materials","3","179","1"
"185","6.2","Metals and semimetals","3","179","1"
"186","6.3","Organic chemicals","3","179","1"
"187","6.4","Inorganic chemicals","3","179","1"
"188","6.5","Glass and ceramics","3","179","1"
"189","6.6","Other mineralic materials","3","179","1"
"190","6.7","Plastics","3","179","1"
"191","6.8","Paper and cardboards","3","179","1"
"192","6.9","Water","3","179","1"
"193","7","Systems","3","0","0"
"194","7.1","Packaging","3","193","1"
"195","7.10","Other systems","3","193","1"
"196","7.2","Electrics and electronics","3","193","1"
"197","7.3","Vehicles","3","193","1"
"198","7.4","Other machines","3","193","1"
"199","7.5","Construction","3","193","1"
"200","7.6","White goods","3","193","1"
"201","7.7","Textiles, furnitures and other interiors","3","193","1"
"202","7.8","Unspecific parts","3","193","1"
