ClassificationID,UUID,CategoryID
"1","01846770-4cfe-4a25-8ad9-919d8d378345","220"
"2","5beb6eed-33a9-47b8-9ede-1dfe8f679159","224"
"3","05e42ba1-dbcd-4dc2-b735-a2f17dd211ae","329"
"4","05e42ba1-dbcd-4dc2-b735-a2f17dd211ae","326"
"5","f2275057-f8be-4db9-bb78-5dfc276967a0","313"
"6","f2275057-f8be-4db9-bb78-5dfc276967a0","315"
"7","23cb51a2-fc53-4359-95f7-d36ece76ddc9","329"
"8","23cb51a2-fc53-4359-95f7-d36ece76ddc9","330"
"9","a6941776-ee4b-40fe-9a05-e19faac45240","313"
"10","a6941776-ee4b-40fe-9a05-e19faac45240","315"
"11","27f62f94-3fe1-4df5-9693-9112b832decb","329"
"12","27f62f94-3fe1-4df5-9693-9112b832decb","326"
"13","8faea1b8-2421-4a68-9f55-86d97d70b321","313"
"14","8faea1b8-2421-4a68-9f55-86d97d70b321","315"
"15","29dcd258-94fb-436c-9070-f9c1ec7988a2","329"
"16","29dcd258-94fb-436c-9070-f9c1ec7988a2","324"
"17","ad38d542-3fe9-439d-9b95-2f5f7752acaf","313"
"18","ad38d542-3fe9-439d-9b95-2f5f7752acaf","314"
"19","2d9d802c-002d-4018-a702-d2d46e78625a","329"
"20","2d9d802c-002d-4018-a702-d2d46e78625a","326"
"21","a700dfc6-43e4-472e-b2a8-b8485dd38776","313"
"22","a700dfc6-43e4-472e-b2a8-b8485dd38776","315"
"23","337ade5f-76a7-4dd4-a720-c376f9b297af","329"
"24","337ade5f-76a7-4dd4-a720-c376f9b297af","330"
"25","3dbb60e1-edde-49f7-b28d-f34b4af727b3","313"
"26","3dbb60e1-edde-49f7-b28d-f34b4af727b3","315"
"27","36077bb7-d83c-4e81-b71b-5d5b537558b9","329"
"28","36077bb7-d83c-4e81-b71b-5d5b537558b9","330"
"29","45915a2c-6ee8-45bd-8a46-070a7261558e","329"
"30","45915a2c-6ee8-45bd-8a46-070a7261558e","326"
"31","36932b14-ba61-417b-a80c-eb9935d193f1","313"
"32","36932b14-ba61-417b-a80c-eb9935d193f1","315"
"33","509344ce-df52-4e70-8066-3fe0d58dc56c","329"
"34","509344ce-df52-4e70-8066-3fe0d58dc56c","330"
"35","7b6727b0-bd5f-4e8a-9602-98c38e3b1f27","313"
"36","7b6727b0-bd5f-4e8a-9602-98c38e3b1f27","315"
"37","58ea2de8-1f31-4248-9b03-18ec5d8db13b","329"
"38","58ea2de8-1f31-4248-9b03-18ec5d8db13b","326"
"39","9e5a91be-b3d1-4268-8e7d-e5e93f6a75d4","313"
"40","9e5a91be-b3d1-4268-8e7d-e5e93f6a75d4","315"
"41","6b2d044b-73e8-49e9-a6b9-3c0e1a950f2f","329"
"42","6b2d044b-73e8-49e9-a6b9-3c0e1a950f2f","326"
"43","6b2d044b-73e8-49e9-a6b9-3c0e1a950f2f","325"
"44","6b2d044b-73e8-49e9-a6b9-3c0e1a950f2f","321"
"45","6b2d044b-73e8-49e9-a6b9-3c0e1a950f2f","320"
"46","7d177694-1886-4dd1-9280-d4e00dac9e49","329"
"47","7d177694-1886-4dd1-9280-d4e00dac9e49","330"
"48","838aaa20-0117-11db-92e3-0800200c9a66","329"
"49","838aaa20-0117-11db-92e3-0800200c9a66","326"
"50","3620148f-c5db-48ce-9065-a10092089aca","313"
"51","3620148f-c5db-48ce-9065-a10092089aca","314"
"52","838aaa23-0117-11db-92e3-0800200c9a66","220"
"53","838aaa22-0117-11db-92e3-0800200c9a66","224"
"54","87d26717-c21d-4bbd-b0f1-a2853d6a2745","329"
"55","87d26717-c21d-4bbd-b0f1-a2853d6a2745","326"
"56","87d26717-c21d-4bbd-b0f1-a2853d6a2745","325"
"57","87d26717-c21d-4bbd-b0f1-a2853d6a2745","323"
"58","87d26717-c21d-4bbd-b0f1-a2853d6a2745","316"
"59","88de7063-fd9e-47d2-b182-1960dbaec530","329"
"60","88de7063-fd9e-47d2-b182-1960dbaec530","326"
"61","88de7063-fd9e-47d2-b182-1960dbaec530","319"
"62","897e7c69-cfc8-49cc-a7d6-ffc3dd8d2708","329"
"63","897e7c69-cfc8-49cc-a7d6-ffc3dd8d2708","330"
"64","8a9107c2-62a2-4997-95b0-6944c80b774e","329"
"65","8a9107c2-62a2-4997-95b0-6944c80b774e","326"
"66","93a60a56-a3c8-11da-a746-0800200b9a66","329"
"67","93a60a56-a3c8-11da-a746-0800200b9a66","326"
"68","93a60a56-a3c8-11da-a746-0800200c9a66","329"
"69","93a60a56-a3c8-11da-a746-0800200c9a66","326"
"70","de5104d8-3de0-4218-a29d-b7123ce9ca3c","313"
"71","de5104d8-3de0-4218-a29d-b7123ce9ca3c","314"
"72","93a60a56-a3c8-13da-a746-0800200c9a66","329"
"73","93a60a56-a3c8-13da-a746-0800200c9a66","326"
"74","1ff9a08c-6fc1-4509-8bcd-a5404c598755","313"
"75","1ff9a08c-6fc1-4509-8bcd-a5404c598755","314"
"76","93a60a56-a3c8-14da-a746-0800200c9a66","329"
"77","93a60a56-a3c8-14da-a746-0800200c9a66","326"
"78","93a60a56-a3c8-17da-a746-0800200c9a66","329"
"79","93a60a56-a3c8-17da-a746-0800200c9a66","326"
"80","e98f44fa-de57-402f-8840-3c198973a8c5","313"
"81","e98f44fa-de57-402f-8840-3c198973a8c5","314"
"82","93a60a56-a3c8-19da-a746-0800200c9a66","329"
"83","93a60a56-a3c8-19da-a746-0800200c9a66","326"
"84","c20a03d7-bd90-4569-bc94-66cfd364dfc8","313"
"85","c20a03d7-bd90-4569-bc94-66cfd364dfc8","314"
"86","93a60a56-a3c8-21da-a746-0800200c9a66","329"
"87","93a60a56-a3c8-21da-a746-0800200c9a66","326"
"88","efd8c21a-6a33-4093-b139-437ac1b64ed9","313"
"89","efd8c21a-6a33-4093-b139-437ac1b64ed9","314"
"90","93a60a56-a3c8-22da-a746-0800200c9a66","329"
"91","93a60a56-a3c8-22da-a746-0800200c9a66","326"
"92","cd950537-0a98-4044-9ba7-9f9a68d0a504","313"
"93","cd950537-0a98-4044-9ba7-9f9a68d0a504","314"
"94","9b7cb96f-e51c-4329-aed1-28ffd39af521","329"
"95","9b7cb96f-e51c-4329-aed1-28ffd39af521","330"
"96","a819760a-7651-4579-a786-842f7575df60","329"
"97","a819760a-7651-4579-a786-842f7575df60","326"
"98","4af75db0-dc90-4097-8c21-ac6a2e0baf0c","313"
"99","4af75db0-dc90-4097-8c21-ac6a2e0baf0c","315"
"100","ac95ed26-5038-4862-8b82-94f1412875cd","329"
"101","ac95ed26-5038-4862-8b82-94f1412875cd","326"
"102","ad5cab9a-2ea5-43f0-bde3-694e87c52b15","329"
"103","ad5cab9a-2ea5-43f0-bde3-694e87c52b15","324"
"104","13afaa60-a560-4f79-95a0-edb3654725f3","313"
"105","b305017e-da55-4a11-be5c-d235d4baf102","329"
"106","b305017e-da55-4a11-be5c-d235d4baf102","326"
"107","b305017e-da55-4a11-be5c-d235d4baf102","319"
"108","b94c1958-a019-48fe-91fe-969327201c96","329"
"109","b94c1958-a019-48fe-91fe-969327201c96","326"
"110","b94c1958-a019-48fe-91fe-969327201c96","325"
"111","b94c1958-a019-48fe-91fe-969327201c96","323"
"112","b94c1958-a019-48fe-91fe-969327201c96","322"
"113","bcf81c0a-9fe9-4b88-a25b-99e0dd64ddaa","329"
"114","bcf81c0a-9fe9-4b88-a25b-99e0dd64ddaa","328"
"115","03cc996d-7177-4738-aa32-1572a5172ccc","313"
"116","bf39196e-9e5a-4f6f-9fba-277a39a23937","329"
"117","bf39196e-9e5a-4f6f-9fba-277a39a23937","324"
"118","9a20c993-38b0-4a49-b4e8-60f8c59a24cd","313"
"119","c0447923-0e60-4b3c-97c2-a86dddd9eea5","220"
"120","af638906-3ec7-4314-8de7-f76039f2dd01","224"
"121","c4ee14f2-4c8d-4543-8567-86dfd9b36a3d","329"
"122","c4ee14f2-4c8d-4543-8567-86dfd9b36a3d","328"
"123","c7e2351e-7f9c-4642-bd5d-e0b62d2953d0","329"
"124","c7e2351e-7f9c-4642-bd5d-e0b62d2953d0","330"
"125","59f6a0a2-731f-41c3-86df-d383dc673dfe","313"
"126","59f6a0a2-731f-41c3-86df-d383dc673dfe","315"
"127","d2881f47-95a3-4d13-8b2c-da2385e35235","329"
"128","d2881f47-95a3-4d13-8b2c-da2385e35235","330"
"129","e0d963f9-d6a4-42a5-90e9-fff8452aa2af","329"
"130","e0d963f9-d6a4-42a5-90e9-fff8452aa2af","326"
"131","e3a844f0-7dff-4322-9e3c-15052706ca8e","329"
"132","e3a844f0-7dff-4322-9e3c-15052706ca8e","330"
"133","808fd4f5-d431-4b91-9817-2ab692e2cc0b","313"
"134","808fd4f5-d431-4b91-9817-2ab692e2cc0b","315"
"135","e7e62a64-0aba-4616-a0d2-a30163b9c3a3","329"
"136","e7e62a64-0aba-4616-a0d2-a30163b9c3a3","330"
"137","c28831de-8759-43da-98bd-05617cb1722d","313"
"138","c28831de-8759-43da-98bd-05617cb1722d","315"
"139","fc0ccc00-30b3-4458-acbe-b8efc49e1acc","329"
"140","fc0ccc00-30b3-4458-acbe-b8efc49e1acc","330"
"141","fd9a098b-253e-4f1e-986d-76a775c51722","329"
"142","fd9a098b-253e-4f1e-986d-76a775c51722","326"
"143","0da1a0f1-e156-46ad-a5d9-4079c044450c","441"
"144","0da1a0f1-e156-46ad-a5d9-4079c044450c","439"
"145","fe0acd60-3ddc-11dd-aaa4-0050c2490048","261"
"146","fe0acd60-3ddc-11dd-aaa4-0050c2490048","280"
"147","fe0acd60-3ddc-11dd-aaa4-0050c2490048","286"
"148","08a91e70-3ddc-11dd-91d5-0050c2490048","261"
"149","08a91e70-3ddc-11dd-91d5-0050c2490048","262"
"150","08a91e70-3ddc-11dd-91d5-0050c2490048","264"
"151","08a91e70-3ddc-11dd-97dc-0050c2490048","261"
"152","08a91e70-3ddc-11dd-97dc-0050c2490048","262"
"153","08a91e70-3ddc-11dd-97dc-0050c2490048","263"
"154","08a91e70-3ddc-11dd-97f9-0050c2490048","261"
"155","08a91e70-3ddc-11dd-97f9-0050c2490048","262"
"156","08a91e70-3ddc-11dd-97f9-0050c2490048","263"
"157","4d9a8790-3ddd-11dd-978b-0050c2490048","261"
"158","4d9a8790-3ddd-11dd-978b-0050c2490048","262"
"159","4d9a8790-3ddd-11dd-978b-0050c2490048","263"
"160","08a91e70-3ddc-11dd-97dd-0050c2490048","261"
"161","08a91e70-3ddc-11dd-97dd-0050c2490048","262"
"162","08a91e70-3ddc-11dd-97dd-0050c2490048","263"
"163","08a91e70-3ddc-11dd-9634-0050c2490048","261"
"164","08a91e70-3ddc-11dd-9634-0050c2490048","262"
"165","08a91e70-3ddc-11dd-9634-0050c2490048","263"
"166","e376903c-4e5c-484c-9752-3ceda5c29271","332"
"167","e376903c-4e5c-484c-9752-3ceda5c29271","355"
"168","e376903c-4e5c-484c-9752-3ceda5c29271","371"
"169","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","332"
"170","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","355"
"171","7f93ddeb-e682-41d6-8a1c-b08da5cf7e64","402"
"172","fe0acd60-3ddc-11dd-a6f9-0050c2490048","261"
"173","fe0acd60-3ddc-11dd-a6f9-0050c2490048","262"
"174","fe0acd60-3ddc-11dd-a6f9-0050c2490048","265"
"175","08a91e70-3ddc-11dd-923a-0050c2490048","261"
"176","08a91e70-3ddc-11dd-923a-0050c2490048","262"
"177","08a91e70-3ddc-11dd-923a-0050c2490048","263"
"178","08a91e70-3ddc-11dd-97ec-0050c2490048","261"
"179","08a91e70-3ddc-11dd-97ec-0050c2490048","262"
"180","08a91e70-3ddc-11dd-97ec-0050c2490048","263"
"181","08a91e70-3ddc-11dd-944a-0050c2490048","261"
"182","08a91e70-3ddc-11dd-944a-0050c2490048","262"
"183","08a91e70-3ddc-11dd-944a-0050c2490048","263"
