ProcessUUID,FlowUUID,EmissionFactor
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","256c7700-d975-4e38-b8cf-baa4cd9a2a9b","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","fe0acd60-3ddc-11dd-a800-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","4d9a8790-3ddd-11dd-9d8b-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-9674-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-9f7b-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-950b-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-9283-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","fe0acd60-3ddc-11dd-a7a0-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","4d9a8790-3ddd-11dd-91dc-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-9bc7-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","fe0acd60-3ddc-11dd-a8c4-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","fe0acd60-3ddc-11dd-a75d-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","433d97ba-99c6-4adf-9a57-25c396fdbfa9","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","fe0acd60-3ddc-11dd-abf3-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","4d9a8790-3ddd-11dd-8dba-0050c2490048","1"
"e64e202c-b5cd-4944-8fbf-ea736e3bf86c","08a91e70-3ddc-11dd-94e3-0050c2490048","1"
"0514add6-37f2-4c5f-b582-97b15492ab2f","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"0514add6-37f2-4c5f-b582-97b15492ab2f","fe0acd60-3ddc-11dd-ac48-0050c2490048","4.000000e-01"
"22ac0c14-58bf-4ad1-b642-2da997d17c75","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"22ac0c14-58bf-4ad1-b642-2da997d17c75","fe0acd60-3ddc-11dd-ac48-0050c2490048","4.000000e-01"
"30f3bace-6a03-46af-81af-9b30aabbca63","fe0acd60-3ddc-11dd-ac48-0050c2490048","4.000000e-01"
"4f100a5b-3ead-4569-942f-7a5345993cb2","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"4f100a5b-3ead-4569-942f-7a5345993cb2","fe0acd60-3ddc-11dd-ac48-0050c2490048","4.000000e-01"
"569d2ebf-17bf-4a4c-9fbd-7d0cc6a8b729","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.500000e-01"
"5fb1964d-ea5a-47a2-8c05-1538148e0e72","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"5fb1964d-ea5a-47a2-8c05-1538148e0e72","fe0acd60-3ddc-11dd-ac48-0050c2490048","8.500000e-01"
"83dd82b8-0a1d-438d-b094-bc82b8fc8344","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"83dd82b8-0a1d-438d-b094-bc82b8fc8344","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.500000e-01"
"844d1ab8-641c-4cd6-aae0-d2862a484662","08a91e70-3ddc-11dd-9783-0050c2490048","1"
"844d1ab8-641c-4cd6-aae0-d2862a484662","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.800000e-01"
"86c51290-115d-47ca-a4f5-90f185194cec","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"86c51290-115d-47ca-a4f5-90f185194cec","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.500000e-01"
"9d2b069d-46a7-4ef9-abf9-b2d58be11265","08a91e70-3ddc-11dd-9783-0050c2490048","1"
"9d2b069d-46a7-4ef9-abf9-b2d58be11265","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.800000e-01"
"a1d2de17-b108-403f-9fbe-19a22cb58c50","fe0acd60-3ddc-11dd-ac48-0050c2490048","8.500000e-01"
"e8db2b14-7923-400a-b379-a4a786f1d7e7","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"e8db2b14-7923-400a-b379-a4a786f1d7e7","fe0acd60-3ddc-11dd-ac48-0050c2490048","4.000000e-01"
"eb2e4a9c-4880-4200-a4c1-056396e2d32a","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"eb2e4a9c-4880-4200-a4c1-056396e2d32a","fe0acd60-3ddc-11dd-ac48-0050c2490048","8.500000e-01"
"f92161b2-f836-43f3-be4d-0e872e5917b3","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"f92161b2-f836-43f3-be4d-0e872e5917b3","fe0acd60-3ddc-11dd-ac48-0050c2490048","8.500000e-01"
"ffca89d5-7646-444b-a576-3864ae9c9af9","08a91e70-3ddc-11dd-9783-0050c2490048","5.000000e-01"
"ffca89d5-7646-444b-a576-3864ae9c9af9","fe0acd60-3ddc-11dd-ac48-0050c2490048","9.500000e-01"
