FragmentEdgeID,FragmentID,Origin,FlowUUID,DirectionID,Terminus,Quantity
"1","1","85","890a70b7-b677-4e2a-8a1b-7d017e0a10ae","1","1","1"
"2","1","1","8623ad4c-34db-496f-9555-0c93fb949e7b","1","2","2.992656e-02"
"3","1","2","2d2e7120-4341-47bf-a987-c57137f7a640","1","3","1.186893e-03"
"4","1","2","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","4","1.128070e-04"
"5","1","1","b9283404-c497-4673-9aa7-be1f66823bb2","1","5","1.244414e-03"
"6","1","1","90f304ca-05aa-4fa6-9823-a57b95ffa9e9","1","6","2.199044e-02"
"7","1","6","2d2e7120-4341-47bf-a987-c57137f7a640","1","7","-4.783886e-07"
"8","1","6","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","8","-4.544968e-08"
"9","1","1","d3179bcb-ebeb-44cb-bb55-62ca97691ec4","1","9","2.464212e-01"
"10","1","9","2d2e7120-4341-47bf-a987-c57137f7a640","1","10","7.909370e-04"
"11","1","9","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","11","7.518325e-05"
"12","1","1","d60d18f1-c2e6-4588-b901-3317dc58acd2","1","12","1.263892e-03"
"13","1","1","5daadf1a-4b6d-419b-ae3f-fea56dedd841","1","13","3.109425e-01"
"14","1","13","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","14","1.491349e-07"
"15","1","13","6133d060-4e09-4985-85a0-b87333f2e8b4","1","15","3.965988e-03"
"16","1","13","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","16","3.360156e-06"
"17","1","13","4d78344e-78af-4e18-a146-e88cc0b2934b","1","17","6.862770e-05"
"18","1","13","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","18","2.909528e-02"
"19","1","13","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","19","1.234083e-02"
"20","1","13","b9283404-c497-4673-9aa7-be1f66823bb2","1","20","1.058160e-04"
"21","1","13","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","21","6.219228e-01"
"22","1","13","2a30cb5a-3ed0-4832-b610-bb822586b643","1","22","2.070297e+00"
"23","1","13","2d2e7120-4341-47bf-a987-c57137f7a640","1","23","1.704023e-06"
"24","1","13","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","24","1.619702e-07"
"25","1","1","ec9bf456-9b0c-458e-bf48-b13930c6e36b","1","25","5.841176e-03"
"26","1","25","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","26","2.343554e-09"
"27","1","25","6133d060-4e09-4985-85a0-b87333f2e8b4","1","27","5.576584e-05"
"28","1","25","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","28","0"
"29","1","25","4d78344e-78af-4e18-a146-e88cc0b2934b","1","29","2.260547e-03"
"30","1","25","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","30","4.090582e-04"
"31","1","25","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","31","3.581143e-04"
"32","1","25","b9283404-c497-4673-9aa7-be1f66823bb2","1","32","5.675660e-05"
"33","1","25","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","33","8.744219e-03"
"34","1","25","2a30cb5a-3ed0-4832-b610-bb822586b643","1","34","5.062529e+01"
"35","1","25","2d2e7120-4341-47bf-a987-c57137f7a640","1","35","1.050892e-05"
"36","1","25","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","36","9.989155e-07"
"37","1","1","00525a4a-1e05-4596-9c49-13b415354103","1","37","0"
"38","1","37","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","38","1.290160e-08"
"39","1","37","6133d060-4e09-4985-85a0-b87333f2e8b4","1","39","2.942680e-04"
"40","1","37","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","40","2.254980e-02"
"41","1","37","4d78344e-78af-4e18-a146-e88cc0b2934b","1","41","4.276148e-04"
"42","1","37","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","42","2.158427e-03"
"43","1","37","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","43","3.278912e-01"
"44","1","37","b9283404-c497-4673-9aa7-be1f66823bb2","1","44","9.084534e-04"
"45","1","37","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","45","4.614052e-02"
"46","1","37","2a30cb5a-3ed0-4832-b610-bb822586b643","1","46","1.441495e+01"
"47","1","37","2d2e7120-4341-47bf-a987-c57137f7a640","1","47","1.462940e-05"
"48","1","37","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","48","1.390549e-06"
"49","1","1","e29a31ee-3cf3-4e42-a50b-b27f8b1f9da6","1","49","3.468985e-01"
"50","1","49","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","50","1.189194e-09"
"51","1","49","6133d060-4e09-4985-85a0-b87333f2e8b4","1","51","2.712391e-05"
"52","1","49","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","52","2.659009e-06"
"53","1","49","4d78344e-78af-4e18-a146-e88cc0b2934b","1","53","2.069275e-05"
"54","1","49","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","54","1.989512e-04"
"55","1","49","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","55","1.853958e-03"
"56","1","49","b9283404-c497-4673-9aa7-be1f66823bb2","1","56","8.373592e-05"
"57","1","49","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","57","4.252964e-03"
"58","1","49","2a30cb5a-3ed0-4832-b610-bb822586b643","1","58","1.043179e+02"
"59","1","49","2d2e7120-4341-47bf-a987-c57137f7a640","1","59","1.348453e-06"
"60","1","49","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","60","1.281727e-07"
"61","1","1","c8192f40-a849-4e26-bb8d-d64030b1fc60","1","61","1.023266e-01"
"62","1","61","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","62","5.418573e-08"
"63","1","61","6133d060-4e09-4985-85a0-b87333f2e8b4","1","63","1.692725e-05"
"64","1","61","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","64","0"
"65","1","61","4d78344e-78af-4e18-a146-e88cc0b2934b","1","65","1.111957e-06"
"66","1","61","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","66","1.130466e-04"
"67","1","61","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","67","6.606255e-05"
"68","1","61","b9283404-c497-4673-9aa7-be1f66823bb2","1","68","1.568515e-05"
"69","1","61","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","69","2.512887e-03"
"70","1","61","2a30cb5a-3ed0-4832-b610-bb822586b643","1","70","6.712327e-01"
"71","1","61","2d2e7120-4341-47bf-a987-c57137f7a640","1","71","2.904225e-06"
"72","1","61","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","72","2.760585e-07"
