FragmentNodeID,FragmentID,Name,FragmentStageID,ReferencePropertyUUID,NodeTypeID,Origin,FlowUUID,DirectionID,Quantity,Terminus
"1","1","Electricity, at grid, CA","","93a60a56-a3c8-11da-a746-0800200c9a66","1","85","890a70b7-b677-4e2a-8a1b-7d017e0a10ae","2","1","1"
"2","1","Electricity from wind power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","8623ad4c-34db-496f-9555-0c93fb949e7b","2","2.992656e-02","2"
"3","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.186893e-03",""
"4","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","2","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.128070e-04",""
"5","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","1","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.244414e-03",""
"6","1","Electricity from geothermal","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","90f304ca-05aa-4fa6-9823-a57b95ffa9e9","2","2.199044e-02","6"
"7","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","6","2d2e7120-4341-47bf-a987-c57137f7a640","1","-4.783886e-07",""
"8","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","6","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","-4.544968e-08",""
"9","1","Electricity from hydro power","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","d3179bcb-ebeb-44cb-bb55-62ca97691ec4","2","2.464212e-01","9"
"10","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","9","2d2e7120-4341-47bf-a987-c57137f7a640","1","7.909370e-04",""
"11","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","9","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","7.518325e-05",""
"12","1","Electricity from photovoltaic","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","d60d18f1-c2e6-4588-b901-3317dc58acd2","2","1.263892e-03","12"
"13","1","Electricity US LCI: Hard coal","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","5daadf1a-4b6d-419b-ae3f-fea56dedd841","2","3.109425e-01","13"
"14","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","1.491349e-07",""
"15","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","6133d060-4e09-4985-85a0-b87333f2e8b4","1","3.965988e-03",""
"16","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","3.360156e-06",""
"17","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","4d78344e-78af-4e18-a146-e88cc0b2934b","1","6.862770e-05",""
"18","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","2.909528e-02",""
"19","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","13","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","1.234083e-02",""
"20","1","US: Dummy_Electricity, fossil, unspecified, at power plant","","93a60a56-a3c8-11da-a746-0800200c9a66","3","13","b9283404-c497-4673-9aa7-be1f66823bb2","1","1.058160e-04",""
"21","1","US: Dummy_Transport, pipeline, coal slurry","","838aaa20-0117-11db-92e3-0800200c9a66","3","13","5ff1a035-84ea-4188-a64f-53dc0ca897bf","1","6.219228e-01",""
"22","1","US: Dummy_Transport, pipeline, unspecified","","838aaa20-0117-11db-92e3-0800200c9a66","3","13","2a30cb5a-3ed0-4832-b610-bb822586b643","1","2.070297e+00",""
"23","1","Secondary fuel","","93a60a56-a3c8-11da-a746-0800200c9a66","3","13","2d2e7120-4341-47bf-a987-c57137f7a640","1","1.704023e-06",""
"24","1","Secondary fuel renewable","","93a60a56-a3c8-11da-a746-0800200c9a66","3","13","85b32f85-0a84-4474-9e55-a7c57a5e3634","1","1.619702e-07",""
"25","1","Electricity US LCI: Heavy Fuel Oil","","93a60a56-a3c8-11da-a746-0800200c9a66","1","1","ec9bf456-9b0c-458e-bf48-b13930c6e36b","2","5.841176e-03","25"
"26","1","US: Dummy_Disposal, anthracite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","826fd5c9-976c-4921-a07a-2f2fbe0fd734","1","2.343554e-09",""
"27","1","US: Dummy_Disposal, ash and flue gas desulfurization sludge, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","6133d060-4e09-4985-85a0-b87333f2e8b4","1","5.576584e-05",""
"28","1","US: Dummy_Disposal, lignite coal combustion byproducts, to unspecified reuse","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","00a22787-7c52-4b7c-be06-b71c3c60f97a","1","0",""
"29","1","US: Dummy_Disposal, solid waste, unspecified, to sanitary landfill","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","4d78344e-78af-4e18-a146-e88cc0b2934b","1","2.260547e-03",""
"30","1","US: Dummy_Disposal, solid waste, unspecified, to underground deposit","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","956ebc16-c7db-4992-b35b-4dbbe8d31596","1","4.090582e-04",""
"31","1","US: Dummy_Disposal, solid waste, unspecified, to unspecified treatment","","93a60a56-a3c8-11da-a746-0800200b9a66","3","25","1d28961d-31c4-42b0-bbdf-78e01b0389b2","1","3.581143e-04",""
